PORT2PORT,Top Module,Source Instance,Destination Instance,Source Port,Destination Port,Connecting Net Name,MACRO NAME,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
INTERFACE2INTERFACE,Top Module,Source Instance,Destination Instance,Source Interface,Destination Interface,Exclude Ports,Align MSB,Padded Value,MACRO NAME
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AUTO,Top Module,Source Instance,Destination Instance,Exclude Ports,Align MSB,Padded Value,,,
,MySoC,u_A:A,u_B:B,,,0,,,
,,,,,,,,,
,,,,,,,,,
CONSTANT,Top Module,Destination Instance,Destination Port,Constant Value,MACRO NAME,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
OPEN,Top Module,Destination Instance,Destination Port,MACRO NAME,,,,,
